name,url,category,active
E.ON Newsroom,https://www.eon.com/de/ueber-uns/presse.html,Wettbewerber,yes
EnBW Presse,https://www.enbw.com/unternehmen/presse/,Wettbewerber,yes
Vattenfall Newsroom,https://group.vattenfall.com/de/newsroom,Wettbewerber,yes
RWE Presse,https://www.rwe.com/presse/,Wettbewerber,yes
Octopus Energy DE Blog,https://octopusenergy.de/blog,Wettbewerber,yes
Tibber Magazin,https://tibber.com/de/magazine,Wettbewerber,yes
Ostrom Blog,https://www.ostrom.de/blog,Wettbewerber,yes
Rabot Charge,https://rabot-charge.de/magazin,Wettbewerber,yes
Naturstrom Presse,https://www.naturstrom.de/ueber-uns/presse,Wettbewerber,yes
Polarstern Magazin,https://www.polarstern-energie.de/magazin/,Wettbewerber,yes
Green Planet Energy Presse,https://green-planet-energy.de/presse/pressemitteilungen,Wettbewerber,yes
EWS Schoenau Aktuelles,https://www.ews-schoenau.de/ews/aktuelles/,Wettbewerber,yes
Buergerwerke Aktuelles,https://buergerwerke.de/aktuelles,Wettbewerber,yes
Yello Strom Presse,https://www.yello.de/presse/,Wettbewerber,yes
E WIE EINFACH Presse,https://www.e-wie-einfach.de/presse,Wettbewerber,yes
eprimo Presse,https://www.eprimo.de/presse,Wettbewerber,yes
Entega Presse,https://www.entega.de/presse/,Wettbewerber,yes
Mainova Presse,https://www.mainova.de/unternehmen/presse,Wettbewerber,yes
N-ERGIE Presse,https://www.n-ergie.de/presse,Wettbewerber,yes
badenova Presse,https://www.badenova.de/presse,Wettbewerber,yes
SWM Stadtwerke Muenchen Presse,https://www.swm.de/presse,Wettbewerber,yes
Lechwerke LEW Presse,https://www.lew.de/ueber-lew/presse,Wettbewerber,yes
Suewag Presse,https://www.suewag.de/presse,Wettbewerber,yes
Enpal Presse,https://www.enpal.de/presse,Wettbewerber,yes
1KOMMA5 Grad Magazin,https://1komma5grad.com/de/magazin,Wettbewerber,yes
1&1 Energy,https://www.1und1.net/energy,Wettbewerber,no
pv magazine Deutschland,https://www.pv-magazine.de,News,yes
energate messenger,https://www.energate-messenger.de,News,yes
Montel News Deutschland,https://montelnews.com/de,News,yes
Erneuerbare Energien Magazin,https://www.erneuerbareenergien.de,News,yes
IWR Nachrichten,https://www.iwr.de/news.php,News,yes
Clean Energy Wire,https://www.cleanenergywire.org/news,News,yes
energiezukunft,https://www.energiezukunft.eu,News,yes
Solarserver,https://www.solarserver.de,News,yes
Windkraft-Journal,https://www.windkraft-journal.de,News,yes
next Kraftwerke Wissen,https://www.next-kraftwerke.de/wissen,News,yes
Tagesschau Energie,https://www.tagesschau.de/thema/energie,News,yes
Heise Energie,https://www.heise.de/thema/Energie,News,yes
Handelsblatt Energie,https://www.handelsblatt.com/unternehmen/energie/,News,yes
Agora Energiewende Presse,https://www.agora-energiewende.de/presse,News,yes
SMARD Strommarktdaten,https://www.smard.de,Preise,yes
EPEX Spot,https://www.epexspot.com/en,Preise,yes
EEX European Energy Exchange,https://www.eex.com/en/,Preise,yes
Strom-Report,https://strom-report.com,Preise,yes
Verivox Strom-Nachrichten,https://www.verivox.de/strom/nachrichten/,Preise,yes
Check24 Strom,https://www.check24.de/strom/,Preise,yes
Destatis Energiepreise,https://www.destatis.de/DE/Themen/Wirtschaft/Preise/Energiepreise/_inhalt.html,Preise,yes
Bundesnetzagentur,https://www.bundesnetzagentur.de/DE/Home/home_node.html,Regulierung,yes
BDEW Presse,https://www.bdew.de/presse/,Regulierung,yes
BMWK Pressemitteilungen,https://www.bmwk.de/Navigation/DE/Presse/pressemitteilungen.html,Regulierung,yes
BEE Bundesverband Erneuerbare Energie,https://www.bee-ev.de/service/presse,Regulierung,yes
BSW Solar Presse,https://www.solarwirtschaft.de/presse/,Regulierung,yes
Bundesverband Waermepumpe,https://www.waermepumpe.de/presse/,Regulierung,yes
